id_competence,lib_competence,descr_competence,type_competence
211;"Reparation de moteur diesel";"Connaissances sur le fonctionnement des moteurs diesel";Competence
212;"Controler les sites pour les operations ";"Verifier l'etat et la conformite du materiels medicaux, la proprete des locaux";Competence
213;"Tracabilite des produits";"Connaitre l'origine des produits";"Savoir faire"
214;"Formalites administratives d'une prestation de transport";"Connaissance des reglementations du transport de marchandises";"Savoir faire"
215;"Realisation d'une maquette d'une application web";"Connaissance en developpement logiciel";"Savoir faire"
216;"Accueil des personnes";"Effectuer l'accueil telephonique et la reception des clients et les renseigner ou les orienter";"Savoir faire"
217;"Suivie d'un chantier";"Informer et communiquer sur les avancees et difficultes d'un chantier";"Savoir faire"
218;"Tailler les vegetaux";"Savoir utiliser des outils de tailles(secateur, maitriser les techniques de coupes de vegetaux";Competence
219;"Creation de raccordement electrique";"Avoir des competence en maconnerie pour realiser des percements muraux pour les  cables";"Savoir faire"
220;"Entretien des locaux et des equipement";"Reparer le materiel defectueux (douches vestiaire, eclairage, mobilier) avoir des competence en electrite, plomberie, menuiserie.";Competence
